Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
Bhutan,Data source,Other alcoholic beverages,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bolivia (Plurinational State of),Data source,All types,,,3.80,3.88,3.80,3.68,3.41,3.15,2.85,2.66,2.36,2.29,2.24,2.36
Bolivia (Plurinational State of),Data source,Beer,,,2.79,2.98,2.96,2.81,2.57,2.38,2.17,2.03,1.73,1.61,1.58,1.71
Bolivia (Plurinational State of),Data source,Wine,,,0.16,0.15,0.15,0.16,0.16,0.13,0.09,0.06,0.06,0.05,0.06,0.06
Bolivia (Plurinational State of),Data source,Spirits,,,0.84,0.75,0.69,0.71,0.67,0.64,0.60,0.57,0.58,0.62,0.59,0.58
Bolivia (Plurinational State of),Data source,Other alcoholic beverages,,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,Data source,All types,,,4.42,4.31,4.49,4.87,4.84,4.60,4.41,4.70,4.59,4.29,4.23,3.96
Bosnia and Herzegovina,Data source,Beer,,,3.29,3.16,3.34,3.66,3.65,3.47,3.28,3.58,3.43,3.14,3.01,2.91
Bosnia and Herzegovina,Data source,Wine,,,0.38,0.42,0.42,0.46,0.43,0.36,0.34,0.33,0.32,0.31,0.39,0.21
Bosnia and Herzegovina,Data source,Spirits,,,0.75,0.73,0.72,0.76,0.76,0.77,0.78,0.79,0.83,0.84,0.83,0.84
Bosnia and Herzegovina,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Botswana,Data source,All types,,,,5.98,4.99,6.54,6.30,6.72,6.35,4.85,5.55,6.46,5.53,5.41
Botswana,Data source,Beer,,,,3.35,2.35,2.24,2.75,2.89,2.56,2.42,2.43,2.65,2.74,2.34
Botswana,Data source,Wine,,,,0.71,0.71,1.11,1.86,1.43,0.91,0.45,0.46,0.53,0.23,0.34
Botswana,Data source,Spirits,,,,0.69,0.69,2.14,0.50,1.09,1.01,0.00,0.82,1.22,0.36,0.54
Botswana,Data source,Other alcoholic beverages,,,,1.24,1.24,1.06,1.19,1.30,1.86,1.98,1.84,2.06,2.20,2.19
Brazil,Data source,All types,,,7.29,7.38,7.22,7.10,7.09,6.99,6.82,6.74,6.83,7.01,7.14,7.27
Brazil,Data source,Beer,,,4.39,4.40,4.14,3.83,3.73,3.55,3.36,3.23,3.18,3.32,3.35,3.34
Brazil,Data source,Wine,,,0.29,0.29,0.29,0.28,0.28,0.30,0.33,0.28,0.28,0.30,0.29,0.31
Brazil,Data source,Spirits,,,2.61,2.68,2.78,2.98,3.07,3.13,3.12,3.23,3.36,3.38,3.50,3.62
Brazil,Data source,Other alcoholic beverages,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Brunei Darussalam,Data source,All types,,,,,0.61,0.63,0.81,0.64,0.16,0.11,0.12,0.13,0.47,0.37
Brunei Darussalam,Data source,Beer,,,,,0.55,0.57,0.73,0.48,0.09,0.08,0.09,0.09,0.20,0.19
Brunei Darussalam,Data source,Wine,,,,,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.04,0.03
Brunei Darussalam,Data source,Spirits,,,,,0.04,0.04,0.06,0.11,0.05,0.01,0.02,0.03,0.23,0.15
Brunei Darussalam,Data source,Other alcoholic beverages,,,,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.40
Bulgaria,Data source,All types,,,9.72,10.20,10.15,10.52,10.23,9.98,10.09,10.57,10.60,10.18,10.71,9.69
Bulgaria,Data source,Beer,,,3.86,3.96,3.98,4.37,4.37,3.93,3.53,3.51,3.29,2.98,3.22,2.99
Bulgaria,Data source,Wine,,,1.35,1.67,1.67,1.61,1.25,1.36,1.67,1.79,2.50,2.34,2.73,2.05
Bulgaria,Data source,Spirits,,,4.49,4.56,4.48,4.53,4.60,4.68,4.88,5.27,4.80,4.87,4.76,4.65
Bulgaria,Data source,Other alcoholic beverages,,,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Burkina Faso,Data source,All types,,,,4.39,4.34,4.30,4.37,4.52,4.70,4.38,4.41,4.41,4.24,3.39
Burkina Faso,Data source,Beer,,,,0.44,0.44,0.43,0.42,0.42,0.41,0.40,0.39,0.40,0.38,0.40
Burkina Faso,Data source,Wine,,,,0.13,0.08,0.07,0.07,0.09,0.09,0.10,0.07,0.08,0.08,0.04
Burkina Faso,Data source,Spirits,,,,0.14,0.14,0.13,0.19,0.47,0.42,0.17,0.21,0.27,0.01,0.03
Burkina Faso,Data source,Other alcoholic beverages,,,,3.68,3.68,3.66,3.67,3.53,3.78,3.71,3.74,3.66,3.77,2.92
Burundi,Data source,All types,,,,6.32,6.16,6.33,6.62,6.59,6.25,6.50,6.66,7.15,7.30,8.20
Burundi,Data source,Beer,,,,1.55,1.33,1.36,1.39,1.37,1.17,1.17,1.12,1.00,0.99,1.43
Burundi,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01
Burundi,Data source,Spirits,,,,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Burundi,Data source,Other alcoholic beverages,,,,4.76,4.82,4.97,5.22,5.21,5.07,5.32,5.54,6.14,6.31,6.76
Cote d'Ivoire,Data source,All types,,,,3.99,3.92,4.02,4.20,4.22,4.44,4.46,4.45,4.32,4.27,3.90
Cote d'Ivoire,Data source,Beer,,,,0.64,0.57,0.60,0.62,0.57,0.61,0.58,0.60,0.49,0.51,0.55
Cote d'Ivoire,Data source,Wine,,,,0.12,0.12,0.13,0.14,0.20,0.23,0.33,0.33,0.34,0.29,0.26
Cote d'Ivoire,Data source,Spirits,,,,0.01,0.01,0.02,0.01,0.01,0.05,0.04,0.04,0.04,0.04,0.04
Cote d'Ivoire,Data source,Other alcoholic beverages,,,,3.21,3.21,3.28,3.44,3.43,3.55,3.51,3.48,3.46,3.43,3.05
Cabo Verde,Data source,All types,,,,3.25,4.41,4.35,5.01,4.73,4.33,4.24,4.19,3.84,3.84,3.49
Cabo Verde,Data source,Beer,,,,2.08,2.08,2.07,2.26,2.35,2.19,1.90,2.32,2.08,2.12,2.09
Cabo Verde,Data source,Wine,,,,0.72,1.87,1.99,2.04,1.93,1.99,1.83,1.42,1.49,1.26,0.95
Cabo Verde,Data source,Spirits,,,,0.45,0.45,0.30,0.70,0.45,0.14,0.51,0.44,0.26,0.46,0.45
Cabo Verde,Data source,Other alcoholic beverages,,,,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
Cambodia,Data source,All types,,,,,2.16,2.19,2.03,1.99,1.99,1.38,1.44,1.43,1.71,1.51
Cambodia,Data source,Beer,,,,,0.99,0.92,0.87,0.79,0.76,0.28,0.28,0.25,0.26,0.29
Cambodia,Data source,Wine,,,,,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.01
Cambodia,Data source,Spirits,,,,,1.16,1.24,1.15,1.18,1.21,1.09,1.16,1.17,1.44,1.21
Cambodia,Data source,Other alcoholic beverages,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Cameroon,Data source,All types,,,,5.64,5.82,5.81,5.34,5.10,4.73,5.18,5.09,5.07,4.92,4.53
