"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR",
2017,1,30,1,2017-01-30,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,31,2,2017-01-31,12889,1288903,32211,"LAS","Las Vegas, NV","NV",12892,1289204,32575,"LAX","Los Angeles, CA","CA",
2017,1,1,7,2017-01-01,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,2,1,2017-01-02,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,3,2,2017-01-03,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,4,3,2017-01-04,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,5,4,2017-01-05,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,6,5,2017-01-06,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,7,6,2017-01-07,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,8,7,2017-01-08,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,9,1,2017-01-09,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,10,2,2017-01-10,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,11,3,2017-01-11,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,12,4,2017-01-12,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,13,5,2017-01-13,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
2017,1,14,6,2017-01-14,12892,1289204,32575,"LAX","Los Angeles, CA","CA",14100,1410002,34100,"PHL","Philadelphia, PA","PA",
